No.,Puesto Institucional,Grado jerárquico o escala al que pertenece el puesto,Remuneración mensual unificada,Remuneración unificada (anual),Décimo Tercera Remuneración,Décima Cuarta Remuneración,Horas suplementarias y extraordinarias,Encargos y subrogaciones,Total ingresos adicionales
3125,SUPERVISOR DE REACONDICIONAMIENTO  ,5,"2,495.30","29,943.60","1,892.26",225.19,"5,240.16",0,"7,357.61"
3126,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
3127,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
3128,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",694.28,225.19,722.43,0,"1,641.90"
3129,ESPECIALISTA DE CONTROL DE COSTOS  ( S ),4,"1,310.00","15,720.00",791.47,225.19,327.5,"1,309.10","2,653.26"
3130,OPERADOR DE PLANTA  ,3,"1,015.00","12,180.00",640.86,225.19,585.27,0,"1,451.32"
3131,COORDINADOR DE GEOLOGÍA DE DESARROLLO  ,6,"4,967.00","59,604.00","2,897.44",225.19,0,0,"3,122.63"
3132,INGENIERO DE INTEGRIDAD MECÁNICA  ,5,"2,500.00","30,000.00","1,458.31",225.19,0,0,"1,683.50"
3133,INGENIERO DE INTEGRIDAD MECÁNICA ( E ) ,5,"1,499.00","17,988.00",874.44,225.19,0,"3,126.53","4,226.16"
3134,AYUDANTE DE MANTENIMIENTO  ,1,620,"7,440.00",363.86,225.19,26.11,0,615.16
3135,TÉCNICO LÍDER AUTOMOTRIZ  ,4,"1,999.00","23,988.00",583.03,112.59,0,0,695.62
3136,INGENIERO DE CONTROL DE CALIDAD  ,5,"4,000.00","48,000.00","2,333.31",225.19,0,0,"2,558.50"
3137,ANALISTA CONTRATOS ESPECIALES  ,3,"2,229.00","26,748.00","1,308.76",225.19,102.16,0,"1,636.11"
3138,OPERADOR DE ISLA ( E ) ,3,620,"7,440.00",380.02,225.19,220.16,"2,765.00","3,590.37"
3139,TÉCNICO DE LABORATORIO  ,3,"1,354.00","16,248.00","1,010.55",225.19,"2,648.78",0,"3,884.52"
3140,SUPERVISOR DE LABORATORIOS  ,5,"2,953.00","35,436.00","1,722.56",225.19,0,0,"1,947.75"
3141,OPERADOR DE ISLA ( E ) ,3,"1,087.00","13,044.00",688.05,225.19,647.7,0,"1,560.94"
3142,AYUDANTE DE PRODUCCIÓN  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3143,AYUDANTE DE ALMACÉN  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
3144,ANALISTA DE CONTRATOS ( E ) ,3,620,"7,440.00",361.69,225.19,0,"4,830.00","5,416.88"
3145,SUPERVISOR DE REACONDICIONAMIENTO  ,5,"3,369.46","40,433.52","2,414.79",225.19,"5,391.15",0,"8,031.13"
3146,ASISTENTE DE CONTROL DE COSTOS  ,2,"2,042.62","24,511.44","1,191.54",225.19,0,0,"1,416.73"
3147,OPERADOR DE EQUIPO PESADO  ,3,"1,150.00","13,800.00",670.81,225.19,0,0,896
3148,TÉCNICO INSTRUMENTISTA  ,3,"2,247.00","26,964.00","1,314.65",225.19,46.82,0,"1,586.66"
3149,OPERADOR DE PLANTA  ,3,"1,015.00","12,180.00",642.49,225.19,604.76,0,"1,472.44"
3150,TÉCNICO DE MANTENIMIENTO DE AVIACIÓN  ,3,"1,541.00","18,492.00",964.18,225.19,782.92,0,"1,972.29"
3151,BODEGUERO  ,2,916,"10,992.00",534.31,225.19,0,0,759.5
3152,ANALISTA DE CONTROL DE GESTIÓN OPERATIVA ( E ) ,3,916,"10,992.00",534.31,225.19,0,"3,038.00","3,797.50"
3153,CAPATAZ DE SEGURIDAD Y AMBIENTE  ,2,796,"9,552.00",464.31,225.19,0,0,689.5
3154,ANALISTA DE GERENCIAMIENTO DE DATOS  ,3,"1,917.00","23,004.00","1,118.25",225.19,0,0,"1,343.44"
3155,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",642.49,225.19,604.76,0,"1,472.44"
3156,INGENIERO DE FACILIDADES ( E ) ,5,"2,604.00","31,248.00","1,519.00",225.19,0,0,"1,744.19"
3157,TÉCNICO ELÉCTRICO  ,3,"1,354.00","16,248.00",813.41,225.19,283.2,0,"1,321.80"
3158,AYUDANTE DE PRODUCCIÓN  ,1,627.45,"7,529.40",391.18,225.19,301.98,0,918.35
3159,AGENTE DE SEGURIDAD  ,2,906.3,"10,875.60",528.71,225.19,0,0,753.9
3160,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,620,"7,440.00",362.65,225.19,11.63,0,599.47
3161,OPERADOR DE ISLA  ,3,"1,334.00","16,008.00",778.19,225.19,0,0,"1,003.38"
3162,SUPERVISOR DE SEGURIDAD Y AMBIENTE  ,5,"2,599.00","31,188.00","1,516.06",225.19,0,0,"1,741.25"
3163,OPERADOR DE PLANTA DE GENERACIÓN ( E ) ,3,620,"7,440.00",389.63,225.19,335.68,"2,765.00","3,715.50"
3164,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3165,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
3166,AYUDANTE DE PRODUCCIÓN  ,1,620,"7,440.00",388.45,225.19,321.47,0,935.11
3167,AYUDANTE DE PRODUCCIÓN  ,1,620,"7,440.00",385.49,225.19,285.95,0,896.63
3168,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
3169,AYUDANTE DE MANTENIMIENTO AMBIENTAL  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3170,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3171,AYUDANTE DE PRODUCCIÓN  ,1,620,"7,440.00",379.42,225.19,213.13,0,817.74
3172,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3173,AYUDANTE DE PRODUCCIÓN  ,1,620,"7,440.00",387.41,225.19,309.03,0,921.63
3174,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3175,ESPECIALISTA DE DESARROLLO ORGANIZACIONAL  ,4,"1,999.00","23,988.00",891.68,225.19,0,0,"1,116.87"
3176,AYUDANTE AUTOMOTRIZ  ,1,465,"5,580.00",271.25,225.19,0,0,496.44
3177,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",671.44,225.19,448.41,0,"1,345.04"
3178,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3179,CAPATAZ DE SEGURIDAD Y AMBIENTE ( E ) ,2,796,"9,552.00",464.31,225.19,0,0,689.5
3180,INGENIERO DE CONFIABILIDAD ( E ) ,5,"1,800.00","21,600.00","1,064.52",225.19,174.2,"2,905.00","4,368.91"
3181,TÉCNICO DE SEGURIDAD Y AMBIENTE ( E ) ,3,620,"7,440.00",361.68,225.19,0,"2,765.00","3,351.87"
3182,CONDUCTOR ADMINISTRATIVO  ,1,794.85,"9,538.20",463.68,225.19,0,0,688.87
3183,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3184,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3185,SUPERINTENDENTE DE CONSTRUCCIONES  ,6,"4,361.00","52,332.00","2,543.94",225.19,0,0,"2,769.13"
3186,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3187,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",685.98,225.19,622.79,0,"1,533.96"
3188,OPERADOR DE PLANTA ( E ) ,3,715.45,"8,585.40",450.81,225.19,401.71,"2,096.85","3,174.56"
3189,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3190,SUPERINTENDENTE DE OPERACIONES  ( S ),6,"1,999.00","23,988.00","1,166.06",225.19,0,"25,441.40","26,832.65"
3191,TÉCNICO ELÉCTRICO (SUBESTACIONES)  ,3,"1,015.00","12,180.00",595.33,225.19,39.11,0,859.63
3192,ADMINISTRADOR DE INVENTARIO ( E ) ,3,"1,300.00","15,600.00",758.31,225.19,0,378,"1,361.50"
3193,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",648.31,225.19,674.54,0,"1,548.04"
3194,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3195,SUPERINTENDENTE DE OPERACIONES ( E ) ,6,"2,880.00","34,560.00","1,764.00",225.19,"1,008.00","7,760.50","10,757.69"
3196,OPERADOR DE REFINERÍA ( E ) ,3,885,"10,620.00",549.21,225.19,395.46,910,"2,079.86"
3197,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
3198,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
3199,ADMINISTRADOR ALERT  ,3,"1,334.00","16,008.00",869.9,225.19,"1,100.55",445.5,"2,641.14"
3200,ASISTENTE OPERADOR CALL CENTER  ,2,580,"6,960.00",338.31,225.19,0,0,563.5
3201,SUPERVISOR DE SEGURIDAD Y AMBIENTE  ,5,"3,200.00","38,400.00","1,866.69",225.19,0,0,"2,091.88"
3202,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3203,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",646.33,225.19,147.21,0,"1,018.73"
3204,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3205,AYUDANTE DE PRODUCCIÓN  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3206,AYUDANTE DE MANTENIMIENTO  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3207,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3208,ANALISTA DE CONTROL DE PAGOS ( E ) ,3,796,"9,552.00",522.03,225.19,692.39,"1,533.00","2,972.61"
3209,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",655.43,225.19,760.17,0,"1,640.79"
3210,ASISTENTE OPERADOR CALL CENTER  ,2,580,"6,960.00",338.31,225.19,0,0,563.5
3211,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
3212,AYUDANTE DE ALMACÉN  ,1,465,"5,580.00",271.25,225.19,0,0,496.44
3213,TÉCNICO DE LABORATORIO  ,3,"1,354.00","16,248.00",304.64,86.86,0,0,391.5
3214,BODEGUERO  ,2,916,"10,992.00",534.31,225.19,0,0,759.5
3215,OPERADOR DE ISLA ( E ) ,3,916,"10,992.00",586.39,225.19,624.79,693,"2,129.37"
3216,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",650.76,225.19,704.14,0,"1,580.09"
3217,SUPERVISOR DE REACONDICIONAMIENTO  ,5,"2,948.99","35,387.88","2,233.76",225.19,"6,162.15",0,"8,621.10"
3218,JEFE DE CAMPO  ,7,"6,100.00","73,200.00","3,558.31",225.19,0,0,"3,783.50"
3219,ADMINISTRADOR DE GERENCIAMIENTO DE DATOS  ,4,"1,875.00","22,500.00","1,127.61",225.19,406.26,0,"1,759.06"
3220,TÉCNICO MECÁNICO ( E ) ,3,885,"10,620.00",532.76,225.19,198.21,910,"1,866.16"
3221,AYUDANTE DE PRODUCCIÓN  ,1,715.45,"8,585.40",423.42,225.19,72.96,0,721.57
3222,TÉCNICO INSTRUMENTISTA  ,3,"1,300.00","15,600.00",768.01,225.19,116.32,0,"1,109.52"
3223,TÉCNICO AUTOMOTRIZ ( E ) ,3,465,"5,580.00",271.25,225.19,0,"3,850.00","4,346.44"
3224,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3225,OPERADOR DE ISLA  ,3,"1,400.00","16,800.00","1,082.64",225.19,"3,191.78",0,"4,499.61"
3226,ESPECIALISTA DE SEGURIDAD Y AMBIENTE ( E ) ,4,"1,100.00","13,200.00",641.69,225.19,0,"2,793.00","3,659.88"
3227,MARINERO/BUZO  ,2,"1,189.00","14,268.00",693.56,225.19,0,0,918.75
3228,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",642.49,225.19,604.76,0,"1,472.44"
3229,ASISTENTE ADMINISTRATIVO ( E ) ,2,620,"7,440.00",361.69,225.19,0,469,"1,055.88"
3230,SUPERINTENDENTE DE MANTENIMIENTO  ,6,"4,361.00","52,332.00","2,543.94",225.19,0,0,"2,769.13"
3231,ANALISTA DE TI  ,3,"1,530.00","18,360.00",892.5,225.19,0,431.5,"1,549.19"
3232,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",653.15,225.19,732.69,0,"1,611.03"
3233,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3234,SUPERVISOR ELÉCTRICO  ,5,"2,599.00","31,188.00","1,527.55",225.19,137.8,0,"1,890.54"
3235,INGENIERO DE INTEGRIDAD MECÁNICA (RODA) ( E ) ,5,"2,200.00","26,400.00","1,283.31",225.19,0,107.5,"1,616.00"
3236,OPERADOR DE PLANTA DE GENERACIÓN  ,3,"1,907.00","22,884.00","1,521.12",225.19,"4,904.38",0,"6,650.69"
3237,AYUDANTE DE MANTENIMIENTO  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
3238,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,620,"7,440.00",364.04,225.19,28.36,0,617.59
3239,OPERADOR DE EQUIPO PESADO  ,3,"1,150.00","13,800.00",670.81,225.19,0,0,896
3240,TÉCNICO ELÉCTRICO  ,3,"1,015.00","12,180.00",174.8,64.34,0,0,239.14
3241,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
3242,ANALISTA DE CONTROL DE FACTURACIÓN  ,3,"1,310.00","15,720.00",797.73,225.19,402.57,0,"1,425.49"
3243,AYUDANTE DE MANTENIMIENTO  ,1,950,"11,400.00",560.02,225.19,70.17,0,855.38
3244,OPERADOR DE ISLA ( E ) ,3,620,"7,440.00",361.68,225.19,0,513.5,"1,100.37"
3245,TÉCNICO AUTOMOTRIZ ( E ) ,3,465,"5,580.00",271.25,225.19,0,"3,850.00","4,346.44"
3246,OPERADOR DE ISLA  ,3,"1,560.00","18,720.00","1,030.11",225.19,"1,441.41",0,"2,696.71"
3247,MARINERO/BUZO  ,2,"1,189.00","14,268.00",693.56,225.19,0,0,918.75
3248,COORDINADOR AMBIENTAL  ,5,"3,000.00","36,000.00","1,750.00",225.19,0,0,"1,975.19"
3249,OPERADOR DE ISLA  ,3,"1,334.00","16,008.00",849.49,225.19,856,0,"1,930.68"
3250,TÉCNICO DE OPERACIONES DE VUELO TOV  ,3,"1,597.00","19,164.00","1,036.25",225.19,"1,255.98",0,"2,517.42"
3251,OPERADOR DE PLANTA  ,3,"1,600.00","19,200.00","1,034.17",225.19,"1,210.00",0,"2,469.36"
3252,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",627.67,225.19,427.03,0,"1,279.89"
3253,COORDINADOR DE PROYECTOS ( E ) ,5,"2,817.00","33,804.00","1,750.36",225.19,"1,285.27",0,"3,260.82"
3254,ESPECIALISTA DE GESTIÓN DE MATERIALES  ,4,"2,200.00","26,400.00","1,283.31",225.19,0,0,"1,508.50"
3255,TÉCNICO INSTRUMENTISTA  ,3,"1,015.00","12,180.00",593.12,225.19,12.69,0,831
3256,ANALISTA DE GESTION Y CONTROL  ,3,"1,528.00","18,336.00",908.71,225.19,208.77,0,"1,342.67"
3257,INGENIERO DE RIESGOS  ,5,"3,360.00","40,320.00","1,960.00",225.19,0,0,"2,185.19"
3258,COORDINADOR DE APLICACIONES TECNICAS  ,5,"2,953.00","35,436.00","1,730.77",225.19,98.43,0,"2,054.39"
3259,SUPERVISOR DE SEIP ( E ) ,5,"1,015.00","12,180.00",593.83,225.19,21.15,"8,400.00","9,240.17"
3260,ANALISTA DE NOMINA  ,3,"1,800.00","21,600.00","1,050.00",225.19,0,0,"1,275.19"
3261,ESPECIALISTA DE DESARROLLO ORGANIZACIONAL  ,4,"1,999.00","23,988.00",891.68,225.19,0,158.5,"1,275.37"
3262,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3263,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3264,OPERADOR DE EQUIPO PESADO ( E ) ,3,620,"7,440.00",364.51,225.19,33.86,526.67,"1,150.23"
3265,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3266,AYUDANTE DE MANTENIMIENTO  ,1,620,"7,440.00",364.42,225.19,32.87,0,622.48
3267,OPERADOR DE PLANTA  ,3,"1,015.00","12,180.00",642.25,225.19,601.98,0,"1,469.42"
3268,INGENIERO DE INTEGRIDAD MECÁNICA  ,5,"3,000.00","36,000.00","1,750.00",225.19,0,0,"1,975.19"
3269,INGENIERO DE OPERACIONES Y COMPLETACIÓN ( E ) ,5,"1,964.00","23,568.00","1,149.09",225.19,40.93,"1,757.00","3,172.21"
3270,AUXILIAR DE SOPORTE ADMINISTRATIVO  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
3271,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",635.76,225.19,20.38,0,881.33
3272,SUPERVISOR RCRS  ,5,"3,300.00","39,600.00","1,925.00",225.19,0,"2,480.00","4,630.19"
3273,COORDINADOR DE CONTROL DE ACTIVOS  ,5,"2,600.00","31,200.00","1,679.19",225.19,"1,950.00",0,"3,854.38"
3274,SUPERVISOR DE PRODUCCIÓN  ,5,"2,736.00","32,832.00","1,998.80",225.19,"4,833.60",0,"7,057.59"
3275,INGENIERO DE AUTOMATIZACIÓN ( E ) ,5,"1,800.00","21,600.00","1,119.83",225.19,837.94,"2,905.00","5,087.96"
3276,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3277,AUDITOR INTERNO  ,4,"2,000.00","24,000.00","1,166.69",225.19,0,0,"1,391.88"
3278,TÉCNICO ELÉCTRICO ( E ) ,3,620,"7,440.00",375.52,225.19,166.1,"2,765.00","3,531.81"
3279,ANALISTA DE DOCUMENTACIÓN Y ARCHIVO ( E ) ,3,"1,978.74","23,744.88","1,154.30",225.19,0,0,"1,379.49"
3280,ANALISTA AMBIENTAL DE PREVENCIÓN Y CONTROL AMBIENTAL  ,3,"1,354.00","16,248.00",127.88,32.17,0,0,160.05
3281,ESPECIALISTA DE SEGURIDAD Y AMBIENTE ( E ) ,4,"1,015.00","12,180.00",592.06,225.19,0,"3,388.00","4,205.25"
3282,TÉCNICO ELÉCTRICO PLANTA DE GENERACIÓN  ,3,"2,273.00","27,276.00","1,354.11",225.19,338.11,0,"1,917.41"
3283,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3284,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
3285,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3286,OPERADOR DE PLANTA  ,3,"1,334.00","16,008.00",835.48,225.19,687.85,0,"1,748.52"
3287,OPERADOR DE ISLA  ,3,"1,334.00","16,008.00",848.22,225.19,840.71,0,"1,914.12"
3288,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",363.4,225.19,20.67,0,609.26
3289,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",677.67,225.19,523.14,0,"1,426.00"
3290,MÉDICO COMUNITARIO  ,4,"2,500.00","30,000.00","1,458.31",225.19,0,0,"1,683.50"
3291,COMPRADOR ( E ) ,3,916,"10,992.00",538.13,225.19,45.8,"3,066.00","3,875.12"
3292,BODEGUERO  ,2,"1,597.00","19,164.00",931.56,225.19,0,0,"1,156.75"
3293,OPERADOR DE ISLA ( E ) ,3,620,"7,440.00",416.58,225.19,658.85,"2,765.00","4,065.62"
3294,CAPATAZ PAV ( E ) ,2,620,"7,440.00",361.69,225.19,0,604.27,"1,191.15"
3295,ASISTENTE DE SEGURIDAD Y AMBIENTE ( E ) ,2,620,"7,440.00",361.68,225.19,0,469,"1,055.87"
3296,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
3297,OPERADOR DE PLANTA  ,3,"1,380.00","16,560.00",961.7,225.19,"1,880.28",0,"3,067.17"
3298,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
3299,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3300,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3301,OPERADOR DE PLANTA ( E ) ,3,"1,087.00","13,044.00",689.1,225.19,660.15,0,"1,574.44"
3302,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3303,OPERADOR DE ISLA  ,3,"1,354.00","16,248.00",840.25,225.19,605.05,0,"1,670.49"
3304,SUPERVISOR DE REACONDICIONAMIENTO  ,5,"3,977.00","47,724.00","2,938.57",225.19,"7,423.76",0,"10,587.52"
3305,AYUDANTE DE PRODUCCIÓN  ,1,885,"10,620.00",566.97,225.19,608.4,0,"1,400.56"
3306,CAPATAZ DE SEGURIDAD Y AMBIENTE ( E ) ,2,796,"9,552.00",464.31,225.19,0,0,689.5
3307,TÉCNICO MECÁNICO  ,3,"2,305.00","27,660.00","1,344.56",225.19,0,0,"1,569.75"
3308,ANALISTA DE CONTROL DE COSTOS  ,3,"1,800.00","21,600.00","1,060.94",225.19,131.25,0,"1,417.38"
3309,SUPERINTENDENTE DE SEGURIDAD Y AMBIENTE (AUCA/SACHA) ( E ) ,6,"3,360.00","40,320.00","1,960.00",225.19,0,"5,159.00","7,344.19"
3310,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
3311,INGENIERO ESPECIALISTA DE LEVANTAMIENTO ARTIFICIAL  ,5,"2,953.00","35,436.00","1,736.09",225.19,162.32,0,"2,123.60"
3312,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3313,OPERADOR DE ISLA ( E ) ,3,885,"10,620.00",560.2,225.19,527.28,910,"2,222.67"
3314,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",466.52,225.19,26.45,0,718.16
3315,ANALISTA DE CONTROL DE COSTOS  ,3,"1,660.00","19,920.00",968.31,225.19,0,0,"1,193.50"
3316,ASISTENTE DE SEGURIDAD Y AMBIENTE ( E ) ,2,687,"8,244.00",400.75,225.19,0,0,625.94
3317,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",677.09,225.19,"1,020.15",0,"1,922.43"
3318,COORDINADOR DE EJECUCIÓN CONTRACTUAL ( E ) ,5,"2,229.00","26,748.00","1,300.25",225.19,0,"5,068.00","6,593.44"
3319,OPERADOR DE ISLA  ,3,"2,231.00","26,772.00","1,405.81",225.19,"1,252.59",0,"2,883.59"
3320,TÉCNICO ELÉCTRICO DE AIRE ACONDICIONADO  ,3,"1,224.75","14,697.00",728.22,225.19,165.61,0,"1,119.02"
3321,COORDINADOR DEL SISTEMA DE GESTIÓN DE CALIDAD  ,5,"2,953.00","35,436.00","1,068.73",225.19,0,"3,861.00","5,154.92"
3322,INGENIERO DE SOPORTE DE CONFIABILIDAD ( E ) ,4,885,"10,620.00",524,225.19,93.03,"4,298.00","5,140.22"
3323,SUPERVISOR AUTOMOTRIZ / MANTENIMIENTO ( E ) ,5,518,"6,216.00",302.19,225.19,0,"11,879.00","12,406.38"
3324,ESPECIALISTA DE LIBERACIÓN DE ÁREAS ( E ) ,4,"1,310.00","15,720.00",764.19,225.19,0,"1,323.00","2,312.38"
3325,CONSTRUCTOR COMUNITARIO  ,4,"2,000.00","24,000.00","1,166.69",225.19,0,0,"1,391.88"
3326,OPERADOR DE PLANTA DE GENERACIÓN  ,3,"1,015.00","12,180.00",157.89,60.05,0,0,217.94
3327,SUPERINTENDENTE DE MANTENIMIENTO  ,6,"4,361.00","52,332.00","2,287.12",225.19,551.25,0,"3,063.56"
3328,TÉCNICO DE LABORATORIO  ,3,"1,541.00","18,492.00","1,001.66",225.19,"1,232.81",0,"2,459.66"
3329,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3330,OPERADOR DE ISLA  ,3,"1,334.00","16,008.00",804.92,225.19,321,0,"1,351.11"
3331,OPERADOR DE PLANTA  ,3,"1,334.00","16,008.00",840.57,225.19,749,0,"1,814.76"
3332,FISCALIZADOR RODA  ,5,"2,736.00","32,832.00","2,285.70",225.19,"8,276.40",0,"10,787.29"
3333,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3334,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",635.76,225.19,20.38,0,881.33
3335,OPERADOR DE ISLA  ,3,"1,334.00","16,008.00",853.31,225.19,901.88,0,"1,980.38"
3336,OPERADOR DE ISLA ( E ) ,3,"1,087.00","13,044.00",670.41,225.19,435.95,0,"1,331.55"
3337,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3338,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3339,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3340,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3341,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3342,INGENIERO DE SOPORTE DE CONFIABILIDAD ( E ) ,4,"1,015.00","12,180.00",595.4,225.19,40.07,"3,388.00","4,248.66"
3343,OPERADOR DE PLANTA  ,3,"1,334.00","16,008.00",840.57,225.19,749,0,"1,814.76"
3344,DESPACHADOR  ,1,687,"8,244.00",415.66,225.19,178.9,0,819.75
3345,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3346,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3347,OPERADOR DE PLANTA  ,3,"1,015.00","12,180.00",642.8,225.19,608.53,0,"1,476.52"
3348,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
3349,CAPATAZ PAV ( E ) ,2,620,"7,440.00",361.68,225.19,0,733.33,"1,320.20"
3350,SUPERVISOR DE PRODUCCIÓN ( E ) ,5,"1,150.00","13,800.00",844.13,225.19,"2,079.57","7,455.00","10,603.89"
3351,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3352,AYUDANTE DE MANTENIMIENTO  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3353,OPERADOR DE ISLA ( E ) ,3,627.45,"7,529.40",397.17,225.19,373.88,"2,712.85","3,709.09"
3354,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
3355,TÉCNICO MECÁNICO TORNERO  ,3,"1,150.00","13,800.00",670.81,225.19,0,0,896
3356,AYUDANTE DE MANTENIMIENTO  ,1,627.45,"7,529.40",366.84,225.19,9.8,0,601.83
3357,BODEGUERO  ,2,916,"10,992.00",534.31,225.19,0,0,759.5
3358,OPERADOR DE PLANTA DE GENERACIÓN  ,3,"1,015.00","12,180.00",660,225.19,815.15,0,"1,700.34"
3359,ANALISTA DE CONTROL DE COSTOS  ,3,"1,310.00","15,720.00",764.19,225.19,0,0,989.38
3360,TECNICO DE MANTENIMIENTO AVIACION  ,3,"1,541.00","18,492.00","1,095.07",225.19,"2,354.01",0,"3,674.27"
3361,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",366.84,225.19,62,0,654.03
